brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price,price_dollar,harddisk_gb,harddisk_imputed,cpu_family,ram_gb,graphics_type,cpu_weights,graphics_type_encoded,graphics_encoded,brand_encoded,performance_score,vfm_score
Lenovo,Unknown Model,14.0,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 ,589.99,0.9758064516129032,False,Core i7,0.13043478260869565,Integrated,0.9,0,0.0,0,0.49018934081346427,21.7280824407236
Msi,Vector GP66 12UGS-267,15.66,Core Black,,Intel Core i9,32 GB,Windows 11,,Dedicated,,1.8 GHz,5.0,"$1,599.00 ",1599.0,1.0,True,Core i9,0.6521739130434783,Unknown,1.0,1,0.0,10,0.6630434782608695,10.844155379731662
Apple,MacBook Air,13.3,Silver,256 GB,Unknown,8 GB,macOS,Backlit Keyboard,Integrated,,,4.8,$689.99 ,689.99,0.22580645161290322,False,Unknown,0.13043478260869565,Integrated,0.0,0,0.0,13,0.05518934081346424,2.091773217304234
Apple,MacBook Air,15.3,Midnight,256 GB,Unknown,8 GB,macOS,,Integrated,,,4.8,"$1,144.48 ",1144.48,0.22580645161290322,False,Unknown,0.13043478260869565,Integrated,0.0,0,0.0,13,0.05518934081346424,1.2610990163285931
Acer,A315-24P-R7VH,15.6,Silver,128 GB,Ryzen 3,8 GB,Windows 11,Backlit Keyboard,Integrated,,,4.5,$299.99 ,299.99,0.0967741935483871,False,Ryzen 3,0.13043478260869565,Integrated,0.65,0,0.0,1,0.30228611500701263,26.35200164053211
Apple,MacBook Pro,13.3,Space Gray,256 GB,Unknown,8 GB,macOS,Backlit Keyboard,Integrated,,,4.7,$965.08 ,965.08,0.22580645161290322,False,Unknown,0.13043478260869565,Integrated,0.0,0,0.0,13,0.05518934081346424,1.4955263835202763
Acer,CB315-3HT,15.6,Silver,64 GB,Celeron N4020,4 GB,Chrome OS,Support Stylus,Integrated,,,4.4,$239.99 ,239.99,0.03225806451612903,False,Celeron,0.043478260869565216,Integrated,0.25,0,0.0,1,0.1140953716690042,12.433032516719148
Asus,ROG Strix G16,16.0,Eclipse Gray,512 GB,Core i7,16 GB,Windows 11,Backlit Keyboard,Dedicated,,,4.4,"$1,274.03 ",1274.03,0.4838709677419355,False,Core i7,0.30434782608695654,Unknown,0.9,1,0.0,6,0.48447405329593274,9.944731361174236
Acer,A515-56-347N,15.6,Silver,128 GB,Core I3 1115G4,8 GB,Windows 11,Amazon Alexa,Integrated,,,4.3,$299.99 ,299.99,0.0967741935483871,False,Core i3,0.13043478260869565,Integrated,0.7000000000000001,0,0.0,1,0.32228611500701265,28.095515505859385
Acer,AN515-58-57Y8,15.6,Black,512 GB,Core i5,16 GB,Windows 11,Backlit Keyboard,Dedicated,,,4.4,$814.77 ,814.77,0.4838709677419355,False,Core i5,0.30434782608695654,Unknown,0.8,1,0.0,1,0.44447405329593276,14.266372899293977
Hp,Notebook,14.0,Grey,1 TB,Ryzen 3 3250U,16 GB,Windows 11,Anti Glare Coating,Integrated,,,4.4,$379.99 ,379.99,1.0,False,Ryzen 3,0.30434782608695654,Integrated,0.65,0,0.0,3,0.4360869565217391,30.01256524101368
Lenovo,Unknown Model,15.6,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5.0,$389.99 ,389.99,1.0,False,Pentium,0.3913043478260869,Integrated,0.35000000000000003,0,0.0,0,0.3378260869565217,22.65384368300717
Hp,Unknown Model,15.6,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,$459.99 ,459.99,0.9758064516129032,False,Pentium,0.30434782608695654,Integrated,0.35000000000000003,0,0.0,3,0.3136676016830295,17.832961037562576
Lenovo,Ideapad 3,15.6,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,$639.99 ,639.99,0.9758064516129032,False,Core i5,0.3913043478260869,Integrated,0.8,0,0.0,0,0.5154067321178122,21.06100477595671
Acer,Nitro 17,17.3,Black,1 TB,AMD Ryzen 7,16 GB,Windows 11,"Backlit Keyboard, Memory Card Slot",Dedicated,,,4.4,"$1,199.99 ",1199.99,1.0,False,Ryzen 7,0.30434782608695654,Unknown,0.8500000000000001,1,0.0,1,0.5160869565217392,11.247278363795454
Hp,hp laptop,15.6,Unknown,1 TB,Intel Core i3,16 GB,Windows 11,Anti-glare,Integrated,Intel UHD Graphics,,4.2,$473.00 ,473.0,1.0,False,Core i3,0.30434782608695654,Integrated,0.7000000000000001,0,0.0,3,0.45608695652173914,25.216725983916106
Other,Unknown Model,11.6,Blue,64 GB,Celeron N4020,4 GB,Windows 10,,Integrated,Intel,1.1 GHz,4.0,$155.00 ,155.0,0.03225806451612903,False,Celeron,0.043478260869565216,Integrated,0.25,0,0.0,8,0.1140953716690042,19.250344991531797
Asus,FX506HF-ES51,15.6,Graphite Black,512 GB,Core i5,8 GB,Windows 11,Backlit Keyboard,Dedicated,,,4.5,$699.99 ,699.99,0.4838709677419355,False,Core i5,0.13043478260869565,Unknown,0.8,1,0.0,6,0.4009957924263675,14.981323004095826
Msi,Thin GF63 12VE-066US,15.6,Unknown,512 GB,Core i7,16 GB,Windows 11,Anti Glare Coating,RTX 4050,,,4.5,$938.00 ,938.0,0.4838709677419355,False,Core i7,0.30434782608695654,Dedicated,0.9,2,0.0,10,0.48447405329593274,13.507341253813232
Lenovo,IdeaPad 3 81X800ENUS,15.6,Almond,256 GB,Core i3,20 GB,Windows 11,Backlit Keyboard,Integrated,,,4.3,$419.00 ,419.0,0.22580645161290322,False,Core i3,0.3913043478260869,Integrated,0.7000000000000001,0,0.0,0,0.4004067321178121,24.991339572606776
Lenovo,IdeaPad Gaming 3,15.6,Onyx Grey,256 GB,Ryzen 5,8 GB,Windows 11,Anti Glare Coating,Dedicated,,,4.3,$801.96 ,801.96,0.22580645161290322,False,Ryzen 5,0.13043478260869565,Unknown,0.75,1,0.0,0,0.35518934081346426,11.582689247718953
Asus,ROG Strix G16,16.0,Eclipse Gray,1 TB,Intel Core i9,16 GB,Windows 11,Anti Glare Coating,Dedicated,,,4.5,"$1,799.99 ",1799.99,1.0,False,Core i9,0.30434782608695654,Unknown,1.0,1,0.0,6,0.5760869565217391,8.369897464513413
